"tweet_id"	"source_user_id"	"rt_user_id"	"tweet"	"I_c"	"website"	"tweet_time"	"hash_tag"	"raw_retweet_count"
293779197376229000	94681842	-1	"Was just asked if I knew of any $1, yes $1, Super Bowl squares. #fiscalcliff"	"c"		1/22/2013 12:56	"FiscalCliff"	0
293827178708217000	71328021	-1	"@RepJohnCampbell thank you for standing firm and voting NO on #HR8 - the #FiscalCliff (via #PJNET)"	"c"		1/22/2013 16:07	"FiscalCliff"	0
294043516445810000	414003816	-1	"Protect & defend the #2ndAmendment. Keep America STRONG! http://t.co/tv6LSkSz FIGHT for #2nd #2A #GunRights #PJNET #TCOT"	"i"	"http://t.co/tv6LSkSz"	1/23/2013 6:26	"gunrights"	1
294299393677488000	28602420	300254302	"RT @_PatJohnson_: Mass Killings Stopped by Armed Citizens http://t.co/4LVX58e4 #PJNET #TGDN #guncontrol #gunrights @nra #nra @NRA_Riflem ..."	"i"	"http://t.co/4LVX58e4"	1/23/2013 23:23	"gunrights"	3
294635412369068000	116544338	-1	"Need to get them #taxes done #asap ((no Rocky))"	"c"		1/24/2013 21:38	"taxes"	0
294814196107976000	559623797	-1	"”Firearms are second only to the Constitution in importance; they are the peoples’ liberty’s teeth.”\
~G. Washington\
#tlot #NRA #gunrights"	"c"		1/25/2013 9:29	"gunrights"	1
295208593232384000	296164029	263966773	"RT @modernactivism: War is 60% of our budget. That's the ONLY place cuts need to come from http://t.co/Ki9SwK97  #occupy #economy #taxes"	"i"	"http://t.co/Ki9SwK97"	1/26/2013 11:36	"taxes"	1
295244080294805000	324443047	-1	"Ask #congress how much #useless #spending it costs to turn #Mars into a #Rover #junkyard. Take #trazillions out of the #budget"	"c"		1/26/2013 13:57	"congress"	0
295285076831391000	49464307	-1	"Daily Show: Mess O'Potamia - WMD Search http://t.co/mEGbL4Sw via @thedailyshow #Congress #Hillary #SecClinton"	"i"	"http://t.co/mEGbL4Sw"	1/26/2013 16:40	"congress"	0
295353671502426000	136764609	-1	"#Shame on you #Congress for your double standards secular stands. When police turns rioters who will save? #ShameMahaGovt"	"c"		1/26/2013 21:12	"congress"	0
295549033257238000	146060152	-1	"Suppose you were an #idiot, and suppose you were a member of #Congress; but I repeat myself. \
Mark #Twain"	"c"		1/27/2013 10:09	"congress"	4
