tweet_id	source_user_id	rt_user_id	tweet	website	tweet_time	hash_tag	raw_retweet_count	direct_reply	inf_conv	num_people	num_orgs	num_locs
2.9343E+17	17758551	-1	Starting to see year-end financials for non-profits I serve with. The effects of the #fiscalcliff 2012 bubble are going to be huge.		1/21/2013 13:47	FiscalCliff	0	0	I	0	0	0
2.93431E+17	872417328	-1	Obama let's see some big changes this year #inaug2013  #fiscalcliff		1/21/2013 13:53	FiscalCliff	1	0	C	0	0	0
2.93432E+17	858497016	51330975	RT @dierdrelewis: Our so call democracy. #debtceiling #fiscalcliff #connecttheleft #topprog #politics #obama #dem #gop http://t.co/sdB7XMS7	http://t.co/sdB7XMS7	1/21/2013 13:57	FiscalCliff	3	0	C	0	0	0
2.93433E+17	38992640	-1	How Congress saved us from the fiscal cliff. #fiscalcliff http://t.co/pFjIrjT5	http://t.co/pFjIrjT5	1/21/2013 13:58	FiscalCliff	0	0	C	0	1	0
2.93434E+17	16981607	-1	SOME STATES DID NOT LEGALLY RATIFY THE 16TH AMENDMENT http://t.co/ovHTfnwS  #fiscalcliff #tax #irs #fed	http://t.co/ovHTfnwS	1/21/2013 14:04	FiscalCliff	3	0	I	0	0	0
2.93434E+17	32834839	16981607	RT @WRH_Mike_Rivero: SOME STATES DID NOT LEGALLY RATIFY THE 16TH AMENDMENT http://t.co/ovHTfnwS  #fiscalcliff #tax #irs #fed	http://t.co/ovHTfnwS	1/21/2013 14:06	FiscalCliff	3	0	I	0	0	0
2.93435E+17	32834839	16981607	RT @WRH_Mike_Rivero: Red Beckman: The 16th Amendment was Never Ratified! http://t.co/kciPgWCA  #fiscalcliff #tax #irs #fed	http://t.co/kciPgWCA	1/21/2013 14:08	FiscalCliff	2	0	I	0	0	0
2.93436E+17	32834839	16981607	RT @WRH_Mike_Rivero: The 16th Amendment was never actually ratified http://t.co/jpchQF4C  #fiscalcliff #tax #irs #fed	http://t.co/jpchQF4C	1/21/2013 14:11	FiscalCliff	1	0	I	0	0	0
2.93436E+17	538524787	241203006	RT @jakehoffman19: Fantastic speech #Obama2012 #fiscalcliff? #socialsecurity? #communism #socialism #welfare		1/21/2013 14:14	FiscalCliff	3	0	C	0	0	0
2.93439E+17	348121076	-1	ﾓCliffﾔ law reconfigures #tax preparation and planning http://t.co/hHftHn3I #fiscalcliff #connecticut	http://t.co/hHftHn3I	1/21/2013 14:26	FiscalCliff	0	0	I	0	0	0
2.93441E+17	1102029902	222953824	"RT @gov: 1.4 million: the number of Twitter mentions for #fiscalcliff and \fiscal cliff\"" in the last 30 days with one-third in the last  ..."""		1/21/2013 14:31	FiscalCliff	76	0	I	0	0	0
2.93442E+17	26953831	-1	It's another view on the fiscal cliff deal and donor impact. http://t.co/0K7odkee @SSIReview #nonprofit #philanthropy #fiscalcliff	http://t.co/0K7odkee	1/21/2013 14:35	FiscalCliff	0	0	I	0	0	0
2.93442E+17	913120152	-1	Obama Finally Pushes Back On ﾑThe 47 Percentﾒ: Entitleme... http://t.co/V7Veudo9 ThinkProgress #FiscalCliff #General	http://t.co/V7Veudo9	1/21/2013 14:38	FiscalCliff	0	0	I	0	0	0
2.93444E+17	20073434	-1	After #FiscalCliff deal preserved #BushTaxCuts for most Americans, GOP has little incentive to agree to new #revenue http://t.co/bMiLdRiC	http://t.co/bMiLdRiC	1/21/2013 14:45	FiscalCliff	1	0	I	0	1	0
2.93445E+17	68758689	-1	Permanent via #ATRA: enhancements to Coverdell education savings accounts #fiscalcliff		1/21/2013 14:50	FiscalCliff	0	0	I	1	0	0
2.93447E+17	112549655	-1	The Fiscal Cliff Fallout: This Is Not What MLK Would Have Wanted http://t.co/1GPqhcXY #MLK #fiscalcliff	http://t.co/1GPqhcXY	1/21/2013 14:56	FiscalCliff	0	0	C	0	1	0
2.93449E+17	18411295	-1	#CNN says #America is in #bed w #China & #Obama is #swinging #big but #FoxNews says hold on to #Boehner lest we fall off the #FiscalCliff !		1/21/2013 15:02	FiscalCliff	0	0	C	1	2	1
2.93449E+17	159096380	25334900	RT @GOVERNING: Looking at state #tax implications from the #fiscalcliff deal - including the end of the 'zombie' estate tax http://t.co/ ...	http://t.co/	1/21/2013 15:06	FiscalCliff	3	0	I	0	0	0
2.9345E+17	1005127645	-1	@opportunitykn VC's are afraid to invest in new products considering that our economy is in a depression.The #fiscalcliff made it even worse		1/21/2013 15:07	FiscalCliff	0	1	I	0	0	0
